,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
531,30053,RUTW,2021,29.7695,-93.16927,0,0,none,,78,69,9,FALSE,,50,,1,,N,N,,,,5,H,H,H,H,,,H,H,19,10,4,4,0,69,69,LETE,1,1,0,TRUE,TRUE,FALSE,58,69,69,69,69,,,4,11,0,2E,"1E, 1C (1d)",58|61|65|69,"2E|2E|2E|1E, 1C (1d)",0|3|4|4,,,
532,30054,RUTW,2021,29.76978,-93.17125,0,0,none,,73,73,0,TRUE,,54,,0,,N,N,,,,3,D,D,D,D,,,D,D,7,7,3,3,3,61,61,LETE,1,0,0,FALSE,TRUE,FALSE,58,58,58,61,61,,,2,3,0,2E,coyote,58|61,2E|coyote,0|3,,,
533,30055,RUTW,2021,29.77011,-93.17284,0,,none,,72,72,0,TRUE,,53,,0,,N,N,,,,3,D,D,D,D,,,D,D,8,8,3,3,3,61,61,LETE,1,0,0,FALSE,TRUE,FALSE,58,58,58,61,61,,,2,3,0,2E,coyote,58|61,2E|coyote,0|3,,,
534,30056,RUTW,2021,29.77108,-93.17836,0,0,none,,74,74,0,TRUE,,55,,0,,N,N,,,,3,D,D,D,D,,,D,D,6,6,3,3,3,61,61,LETE,1,0,0,FALSE,TRUE,FALSE,58,58,58,61,61,,,2,3,0,2E,coyote,58|61,2E|coyote,0|3,,,
535,30057,RUTW,2021,29.77129,-93.1795,,,none,,62,62,0,TRUE,,43,,0,,N,N,,,,4,D,D,D,D,,,D,D,22,22,4,4,4,65,65,LETE,0,0,0,FALSE,TRUE,FALSE,58,61,61,65,65,,,3,7,1,3E,D,58|61|65,3E|3E|D,0|3|4,,,scat found in nest cup!
536,30058,HBRB,2021,29.76541,-93.37804,,,none,,63,68,5,FALSE,,49,5,0,,N,N,,,24,9,H,H,H,H,,,H,H,19,24,9,9,0,68,68,LETE,0,1,0,TRUE,TRUE,FALSE,59,68,68,68,68,,,2,9,1,2E,"1E, 1C",59|68,"2E|1E, 1C",0|9,,,
537,30059,HBRB,2021,29.76526,-93.37566,0,,none,,76,76,0,TRUE,,57,0,0,,N,N,,,11,9,F,F,F,F,,,F,F,11,11,9,9,9,68,68,LETE,1,0,0,FALSE,TRUE,FALSE,59,59,59,68,68,,,2,9,0,2E,F,59|68,2E|F,0|9,,,"unknown reason for failure, no evidence seen"
538,30061,HBRB,2021,29.76508,-93.37427,0,0,none,,76,76,0,TRUE,,57,0,0,,N,N,,,16,5,W,W,W,W,,,W,W,16,16,5,5,5,73,73,LETE,1,0,0,FALSE,TRUE,FALSE,68,68,68,73,73,,,3,5,0,2E,0E,59|68|73,2E|2E|0E,0|9|5,,,washout from heavy rain events
539,30062,RUTW,2021,29.76759,-93.15884,0,0,none,,64,64,0,TRUE,,45,,0,,N,N,,,,4,U,U,U,U,,,U,U,24,24,4,4,4,69,69,LETE,0,0,0,FALSE,TRUE,TRUE,61,65,65,69,69,,,3,8,1,2E,0E,61|65|69,2E|2E|0E,0|4|4,,,"possibly hatched, but there were also coyote tracks in the area"
540,30063,RUTW,2021,29.76798,-93.16164,0,0,none,,79,79,0,TRUE,,60,,0,,N,N,,,,4,Hu,Hu,Hu,Hu,,,Hu,Hu,5,5,4,4,4,65,65,LETE,1,0,0,FALSE,TRUE,FALSE,61,61,61,65,65,,,2,4,0,1E,Hu,61|65,1E|Hu,0|4,,,6/14: nest run over
